"borough","inner_outer","total_chargers","total_population","chargers_per_10k","lsoa_count","lsoa_with_charger","pct_with_charger"
"Hammersmith and Fulham","Inner",1756,185822,94.4990367125529,115,112,97.4
"Westminster","Inner",1229,209333,58.7102845705168,123,122,99.2
"Southwark","Inner",1698,309327,54.8933652736425,173,169,97.7
"Kensington and Chelsea","Inner",627,146336,42.8465996063853,101,99,98
"Merton","Outer",683,215105,31.7519351014621,126,123,97.6
"City of London","Inner",32,11615,27.550581145071,6,6,100
"Camden","Inner",461,217352,21.2098347381207,130,122,93.8
"Richmond upon Thames","Outer",357,195295,18.2800378913951,115,87,75.7
"Wandsworth","Inner",596,330447,18.0361752414154,186,150,80.6
"Brent","Outer",611,341505,17.8913925125547,181,121,66.9
"Kingston upon Thames","Outer",266,169076,15.7325699685349,99,74,74.7
"Islington","Inner",281,219769,12.786152733097,126,104,82.5
"Lambeth","Inner",374,317657,11.7737056006951,181,149,82.3
"Hounslow","Outer",326,289196,11.2726317099822,150,94,62.7
"Waltham Forest","Outer",308,275847,11.165609921442,146,119,81.5
"Tower Hamlets","Inner",337,324881,10.3730288936564,169,122,72.2
"Hackney","Inner",267,261814,10.1980795526595,149,110,73.8
"Ealing","Outer",330,370315,8.9113322441705,199,150,75.4
"Sutton","Outer",145,210369,6.89265053311087,123,69,56.1
"Barnet","Outer",250,390371,6.40416424375786,220,73,33.2
"Lewisham","Inner",163,299164,5.4485165327379,175,96,54.9
"Greenwich","Outer",144,292381,4.92508063109436,164,71,43.3
"Enfield","Outer",144,326867,4.40546154858092,183,60,32.8
"Croydon","Outer",169,393547,4.29427743064996,229,100,43.7
"Haringey","Inner",111,262078,4.23538030662627,147,67,45.6
"Hillingdon","Outer",113,312162,3.6199153003889,170,46,27.1
"Redbridge","Outer",106,311629,3.40148060674713,164,51,31.1
"Newham","Inner",111,357327,3.10639834101537,185,72,38.9
"Bexley","Outer",48,247875,1.93645990922844,148,31,20.9
"Harrow","Outer",50,261798,1.90986944132499,144,27,18.8
"Bromley","Outer",60,329930,1.81856757494014,199,42,21.1
"Barking and Dagenham","Outer",30,220392,1.36121093324622,115,24,20.9
"Havering","Outer",36,264786,1.35958849788131,153,25,16.3
